ORIG_FID,Width,Length,Orient,Area,Elong,Bed,Topo,Y/N,rf_bedform_pred,xgb_bedform_pred,ens_bedform_pred
231,26.82477442,429.4715395,93.06441789,10369.64369,16.01025727,0,1,0,0,1,0
289,79.25,251.7477039,80.77291634,12768.63108,3.176627178,0,1,0,0,0,0
334,90.78658408,179.0018186,62.2444002,11812.23175,1.971676987,0,1,0,0,0,0
537,102.6228055,148.7807935,147.6276264,9302.88229,1.449782948,0,1,0,0,0,0
606,80.83723374,141.3111339,107.4199265,9356.75923,1.748094626,0,1,0,0,0,0
676,109.4112139,201.3540783,48.42179918,15338.49204,1.840342238,0,1,0,0,0,0
722,131.2942112,225.9444935,47.74183632,16752.05681,1.720902175,0,1,0,0,0,0
773,101.2665534,177.4957604,162.6542873,15087.44753,1.752757988,0,1,0,0,0,0
804,135.7611053,211.519579,33.32146946,18597.75094,1.558027821,0,1,0,0,0,0
819,141.9210779,351.0801388,60.64624869,29612.7242,2.473770239,0,1,0,0,0,0
864,69.07351865,306.1448669,53.85577636,16743.37704,4.432159717,0,1,1,0,0,0
909,205.4179688,507.370601,66.83881261,73058.15225,2.469942645,0,1,0,1,0,0
918,96.7933804,228.9308644,24.86513528,13674.76185,2.365150008,0,1,0,0,0,0
1024,68.55983715,200.0181,26.88556722,10338.25405,2.917423791,0,1,1,0,0,0
1157,143.9734706,310.9868512,31.21430895,31034.71213,2.160028857,0,1,0,0,0,0
1159,183.9295325,336.7122535,36.70970545,39783.28715,1.830658997,0,1,0,0,0,0
1176,75.02964966,245.0181315,174.3833434,14126.16791,3.265617428,0,1,0,0,0,0
1294,109.4169689,318.6267114,18.07643422,25094.45634,2.912041108,0,1,0,0,0,0
1380,194.7005548,414.8445492,39.52263127,48557.68842,2.130679851,0,1,0,0,0,0
1481,124.9722467,764.2093118,115.5405174,54417.6565,6.115032192,0,1,0,1,1,1
1669,70.16102337,171.143555,46.39391167,9984.98606,2.439296731,0,1,0,0,0,0
1692,89.51876665,392.8437619,29.97714107,29522.82902,4.388395602,0,1,1,1,0,0
1723,182.5547502,403.5071251,161.6548564,58818.11867,2.210334843,0,1,0,0,0,0
1768,70.95661602,398.0738976,8.712499752,24071.58736,5.610102623,0,1,1,0,1,0
1780,156.8076131,410.8204089,163.25888,52567.04117,2.619900914,0,1,1,0,0,0
1811,93.95174107,409.4178372,8.947674373,25057.68245,4.357746142,0,1,1,0,0,0
1922,147.8645871,435.2528018,166.0758125,50937.14843,2.943590554,0,1,1,0,0,0
1923,38.49995778,246.5855967,6.412258845,8198.770196,6.404827718,0,1,1,0,0,0
1930,87.87045941,432.3058495,11.61514047,29224.59422,4.919808686,0,1,1,1,1,1
1993,44.07502993,389.3892041,39.2616036,11325.81224,8.8346895,0,1,0,0,1,0
2036,83.4664287,522.0217747,45.54165022,39402.46833,6.254272321,0,1,1,1,1,1
2083,138.7515779,470.0962962,17.13328692,60049.35271,3.388042884,0,1,0,1,0,1
2099,130.9896176,551.8449134,33.70334074,50287.01425,4.212890483,0,1,0,1,0,1
2108,87.77148482,469.2575225,8.999777544,29058.12492,5.346355066,0,1,1,1,1,1
2109,73.95565376,442.8314945,23.04575488,26694.98994,5.987797713,0,1,1,1,1,0
